50164 ,54469
17572.9827988000,26479.7983724000,0.0771357329
17582.0675580000,26322.8158850000,0.0767920472
17591.0992644000,26165.8313999000,0.0764483758
17600.0759182000,26008.8449129000,0.0761047093
17608.9985203000,25851.8564124000,0.0757610210
17617.8670697000,25694.8659120000,0.0754173423
17626.6825652000,25537.8724268000,0.0750737065
17635.4430103000,25380.8779121000,0.0747300130
17644.1494015000,25223.8814124000,0.0743863624
17652.8017411000,25066.8828981000,0.0740426876
17661.4000291000,24909.8823691000,0.0736989885
17669.9442632000,24752.8798552000,0.0733553322
17678.4344468000,24595.8763129000,0.0730116203
17686.8705755000,24438.8697994000,0.0726679823
17695.2526526000,24281.8612714000,0.0723243199
17703.5806781000,24124.8517286000,0.0719806331
17711.8546508000,23967.8401871000,0.0716369575
17720.0745708000,23810.8266449000,0.0712932886
17728.2404392000,23653.8110890000,0.0709495974
17736.3522548000,23496.7945333000,0.0706059152
17744.4090168000,23339.7749907000,0.0702622708
17752.4127271000,23182.7544344000,0.0699186039
17760.3623855000,23025.7328655000,0.0695749168
17768.2579914000,22868.7082958000,0.0692312362
17776.0985446000,22711.6827254000,0.0688875621
17783.8860451000,22554.6551552000,0.0685438966
17791.6194938000,22397.6265722000,0.0682002106
17799.2978890000,22240.5960015000,0.0678565601
17806.9232333000,22083.5644042000,0.0675128578
17814.4945230000,21926.5298348000,0.0671692264
17822.0107630000,21769.4952221000,0.0668255055
17829.4739483000,21612.4576393000,0.0664818596
17836.8820829000,21455.4200270000,0.0661381554
17844.2371628000,21298.3794437000,0.0657945240
17851.5371920000,21141.3388318000,0.0654508363
17858.7841686000,20984.2962202000,0.0651071569
17865.9760924000,20827.2516088000,0.0647634855
17873.1139645000,20670.2059828000,0.0644197890
17880.1987829000,20513.1583718000,0.0640761339
17887.2285488000,20356.1097592000,0.0637324827
17894.2042629000,20199.0601338000,0.0633888103
17901.1269251000,20042.0094947000,0.0630451146
17907.9945348000,19884.9568549000,0.0627014248
17914.8080909000,19727.9022292000,0.0623577741
17921.5675951000,19570.8475898000,0.0620141000
17928.2740467000,19413.7909506000,0.0616704336
17934.9254466000,19256.7332969000,0.0613267418
17941.5227937000,19099.6746434000,0.0609830576
17948.0660874000,18942.6140039000,0.0606394124
17954.5553292000,18785.5523507000,0.0602957434
17960.9905193000,18628.4896830000,0.0599520489
17967.3716558000,18471.4260294000,0.0596083932
17973.6987406000,18314.3613621000,0.0592647136
17979.9717726000,18157.2946949000,0.0589210415
17986.1907529000,18000.2280133000,0.0585773437
17992.3556796000,17843.1593465000,0.0582336863
17998.4665545000,17686.0906652000,0.0578900031
